GPSTime,Left T2C (deg C),Left NG (%),Left IGV (deg)
9/26/2011 14:09,27.20578,3.435601,62.05304
9/26/2011 14:09,27.1412,3.39059,62.03318
9/26/2011 14:09,27.1412,3.344205,62.11906
9/26/2011 14:09,27.18961,3.255408,62.07993
9/26/2011 14:09,27.18961,3.224633,61.97135
9/26/2011 14:09,27.18353,3.181969,62.01581
9/26/2011 14:09,27.18353,3.143321,61.98814
9/26/2011 14:09,27.1897,3.102121,61.94903
9/26/2011 14:09,27.1897,3.058683,62.08414
9/26/2011 14:09,27.08182,3.025644,62.02848
9/26/2011 14:09,27.08182,0,62.05972
9/26/2011 14:09,27.0459,0,61.97053
9/26/2011 14:09,27.0459,2.869225,62.01115
9/26/2011 14:09,26.88144,2.834385,62.06952
9/26/2011 14:09,26.88144,2.808772,62.04935
9/26/2011 14:09,26.78165,2.772597,61.99327
9/26/2011 14:09,26.78165,2.727683,61.97416
9/26/2011 14:09,26.81607,2.686139,62.06872
9/26/2011 14:09,26.81607,0,62.02436
9/26/2011 14:09,26.74744,2.583766,61.95708
9/26/2011 14:09,26.74744,0,61.97653
9/26/2011 14:09,26.7753,0,62.07063
9/26/2011 14:09,26.7753,2.435047,61.973
9/26/2011 14:09,26.64786,2.296476,62.05273
9/26/2011 14:09,26.64786,0,61.99566
9/26/2011 14:09,26.60529,2.180548,62.00603
9/26/2011 14:09,26.60529,0,62.1196
9/26/2011 14:09,26.62265,2.018156,62.03585
9/26/2011 14:09,26.62265,0,61.99713
9/26/2011 14:09,26.53223,0,62.0509
9/26/2011 14:09,26.53223,1.781581,62.01178
9/26/2011 14:09,26.51102,0,62.12128
9/26/2011 14:09,26.51102,0,62.00245
9/26/2011 14:09,26.36639,0,62.04547
9/26/2011 14:09,26.36639,0,62.03352
9/26/2011 14:09,26.18161,0,61.9735
9/26/2011 14:09,26.18161,0,62.04834
9/26/2011 14:09,26.00067,0,62.00343
9/26/2011 14:10,26.00067,0,62.06282
9/26/2011 14:10,26.12018,0,62.07277
9/26/2011 14:10,26.12018,0,62.04143
9/26/2011 14:10,26.01276,0,61.94555
9/26/2011 14:10,26.01276,0,62.0554
9/26/2011 14:10,26.13562,0,61.98915
9/26/2011 14:10,26.13562,0,61.96007
9/26/2011 14:10,26.11731,0,62.07706
9/26/2011 14:10,26.11731,0,62.0883
9/26/2011 14:10,26.09937,0,61.98841
9/26/2011 14:10,26.09937,0,62.06704
9/26/2011 14:10,26.13654,0,62.01707
9/26/2011 14:10,26.13654,0,62.14222
9/26/2011 14:10,26.16809,0,62.03344
9/26/2011 14:10,26.16809,0,62.00733
9/26/2011 14:10,26.17474,0,62.11863
9/26/2011 14:10,26.17474,0,62.08885
9/26/2011 14:10,26.16125,0,62.08941
9/26/2011 14:10,26.16125,0,62.07117
9/26/2011 14:10,26.12134,0,62.03151
9/26/2011 14:10,26.12134,0,62.06913
9/26/2011 14:10,25.98413,0,62.04625
9/26/2011 14:10,25.98413,0,62.01745
9/26/2011 14:10,25.91742,0,62.11328
9/26/2011 14:10,25.91742,0,61.95079
9/26/2011 14:10,25.89667,0,61.99759
9/26/2011 14:10,25.89667,0,61.9898
9/26/2011 14:10,25.77448,0,61.99535
9/26/2011 14:10,25.77448,0,62.01468
9/26/2011 14:10,25.78979,0,62.04933
9/26/2011 14:10,25.78979,0,62.05097
9/26/2011 14:10,25.76117,0,62.06403
9/26/2011 14:10,25.76117,0,62.08515
9/26/2011 14:10,25.78613,0,61.98138
9/26/2011 14:10,25.78613,0,62.00664
9/26/2011 14:10,25.64481,0,62.07507
9/26/2011 14:10,25.64481,0,61.97751
9/26/2011 14:10,25.69217,0,62.05313
9/26/2011 14:10,25.69217,0,62.07724
9/26/2011 14:10,25.68604,0,62.02172
9/26/2011 14:10,25.68604,0,62.06621
9/26/2011 14:10,25.81918,0,62.05716
9/26/2011 14:10,25.81918,0,62.05927
9/26/2011 14:10,25.72949,0,61.99374
9/26/2011 14:10,25.72949,0,62.00199
9/26/2011 14:10,25.76501,0,62.03212
9/26/2011 14:10,25.76501,0,62.1375
9/26/2011 14:10,25.7337,0,62.01443
9/26/2011 14:10,25.7337,0,62.02994
9/26/2011 14:10,25.63931,0,62.02112
9/26/2011 14:10,25.63931,0,61.9687
9/26/2011 14:10,25.48285,0,61.9941
9/26/2011 14:10,25.48285,0,62.14634
9/26/2011 14:10,25.4866,0,62.05875
9/26/2011 14:10,25.4866,0,62.12673
9/26/2011 14:10,25.49881,0,62.04881
9/26/2011 14:11,25.49881,0,62.03289
9/26/2011 14:11,25.4054,0,62.06375
9/26/2011 14:11,25.4054,0,61.92957
9/26/2011 14:11,25.33392,0,62.03915
9/26/2011 14:11,25.33392,0,62.03552
9/26/2011 14:11,25.35205,0,62.06626
9/26/2011 14:11,25.35205,0,61.96643
9/26/2011 14:11,25.34738,0,62.00655
9/26/2011 14:11,25.34738,0,62.00412
9/26/2011 14:11,25.3219,0,62.05161
9/26/2011 14:11,25.3219,0,61.99352
9/26/2011 14:11,25.56522,0,62.03902
9/26/2011 14:11,25.56522,0,62.06228
9/26/2011 14:11,25.52374,0,61.99211
9/26/2011 14:11,25.52374,0,62.03239
9/26/2011 14:11,25.38541,0,62.06952
9/26/2011 14:11,25.38541,0,61.9552
9/26/2011 14:11,25.42737,0,62.04422
9/26/2011 14:11,25.42737,0,62.03064
9/26/2011 14:11,25.38919,0,62.0417
9/26/2011 14:11,25.38919,0,62.00344
9/26/2011 14:11,25.38776,0,62.05392
9/26/2011 14:11,25.38776,0,62.01025
9/26/2011 14:11,25.31421,0,62.06467
9/26/2011 14:11,25.31421,0,62.04747
9/26/2011 14:11,25.25085,0,62.05267
9/26/2011 14:11,25.25085,0,62.05975
9/26/2011 14:11,25.35214,0,62.11843
9/26/2011 14:11,25.35214,0,61.99973
9/26/2011 14:11,25.27032,0,62.05998
9/26/2011 14:11,25.27032,0,62.04826
